,ID,START_STEP,END_STEP,START_TIME,END_TIME,TOTAL_TIME
-,5d31b655-2081-4eab-8472-e8ee17bef0b1,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:52:55.760,2020-12-22 06:53:36.586,0 days 00:00:40.826000
-,9ffd1123-c27c-4c47-abe7-4ae7d0a0f8b4,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:55:13.690,2020-12-22 06:56:23.163,0 days 00:01:09.473000
-,fa91f5a5-1d23-4ae8-9aa0-25e24d5e3623,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:52:58.871,2020-12-22 06:54:18.994,0 days 00:01:20.123000
-,7568ab8b-6255-48bf-b7fc-a8d078c16dda,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:54:20.056,2020-12-22 06:55:12.900,0 days 00:00:52.844000
-,865da064-44fe-4f03-adfb-94de9dc08ef4,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:53:38.627,2020-12-22 06:54:51.387,0 days 00:01:12.760000
-,95243593-a936-40e8-9311-66c1fbeb7066,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:54:19.394,2020-12-22 06:55:40.379,0 days 00:01:20.985000
-,290f2fa3-029e-49c9-b5c3-b16082058ed0,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:00:37.827,2020-12-22 07:02:06.892,0 days 00:01:29.065000
-,402bb38b-f4bc-4b1e-9e8d-5e3ed7fb36be,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:03:37.747,2020-12-22 07:05:19.529,0 days 00:01:41.782000
-,aabad1a8-3399-44f7-8cea-115f746522c0,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:59:22.566,2020-12-22 07:00:40.427,0 days 00:01:17.861000
-,dc4a3dc3-1d9d-4984-b182-8ca346dcd5ca,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:58:27.689,2020-12-22 06:59:21.205,0 days 00:00:53.516000
-,246d6347-4ffe-4b94-8670-78d288deecfc,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:55:20.061,2020-12-22 06:58:00.337,0 days 00:02:40.276000
-,b357ae9d-c207-4cd7-b81f-9a0fec6f8266,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:00:41.997,2020-12-22 07:01:57.079,0 days 00:01:15.082000
-,45fa322b-7d3b-405a-829a-47026b8a5906,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:04:28.586,2020-12-22 07:07:23.677,0 days 00:02:55.091000
-,a2018a71-6ad7-4626-ac51-41ff606f223a,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:02:12.028,2020-12-22 07:03:33.888,0 days 00:01:21.860000
-,c458f7ca-437e-4177-8b34-e8743b47da9d,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:00:41.280,2020-12-22 07:02:22.919,0 days 00:01:41.639000
-,8d345c23-bbe9-4910-9e23-3bb7cbd14dcb,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:54:35.390,2020-12-22 06:55:36.226,0 days 00:01:00.836000
-,aed9d3c9-1b53-4381-b76c-20649dc1f2e1,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:57:05.223,2020-12-22 06:58:28.058,0 days 00:01:22.835000
-,2087bccb-4865-4284-ba72-9d6e412bbc33,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:52:55.412,2020-12-22 06:53:40.881,0 days 00:00:45.469000
-,30b1491e-057a-45f8-974a-6b9c7e795860,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:01:57.242,2020-12-22 07:03:13.927,0 days 00:01:16.685000
